title,studio,domestic_gross,foreign_gross,year,matched_title,similarity
Youth in Revolt 2010,W/Dim.,15300000.0,4400000,2010,Youth in Oregon 2016,80
Buried 2010,LGF,1000000.0,18100000,2010,Buried 2010,100
[Rec] 2 2010,Magn.,27800.0,18500000,2010,R.E.M.2 2011,78
Repo Men 2010,Uni.,13800000.0,4600000,2010,Repo Men 2010,100
A Prophet (Un prophète) 2010,SPC,2100000.0,15800000,2010,L'ombre du Prophete 2010,69
Soul Kitchen 2010,IFC,277000.0,17600000,2010,Soul Sisters 2010,76
Mother (2010) 2010,Magn.,552000.0,16600000,2010,Mother 2012,76
Micmacs 2010,SPC,1300000.0,15100000,2010,Chicas 2010,78
The Nutcracker in 3D 2010,Free,195000.0,16000000,2010,The Nutcracker in 3D 2010,100
Sea Rex 3D: Journey to a Prehistoric World 2010,3D,6100000.0,9900000,2010,Sea Rex 3D: Journey to a Prehistoric World 2010,100
I Hate Luv Storys 2010,UTV,848000.0,14900000,2010,I Hate Luv Storys 2010,100
Extraordinary Measures 2010,CBS,12100000.0,3100000,2010,Extraordinary Measures 2010,100
Somewhere 2010,Focus,1800000.0,12200000,2010,Somewhere 2010,100
Winter's Bone 2010,RAtt.,6500000.0,7300000,2010,Winter's Bone 2010,100
The Last Station 2010,SPC,6600000.0,6900000,2010,The Last Station 2011,95
Raajneeti 2010,UTV,1500000.0,11100000,2010,Raajneeti 2010,100
Made in Dagenham 2010,SPC,1100000.0,11300000,2010,Made in Dagenham 2010,100
Blue Valentine 2010,Wein.,9700000.0,2600000,2010,Blue Valentine 2010,100
Tamara Drewe 2010,SPC,560000.0,11400000,2010,Tamara Drewe 2010,100
Chloe 2010,SPC,3100000.0,8600000,2010,Close 2010,90
Looking for Eric 2010,IFC,55800.0,11500000,2010,Looking for Her 2015,88
The Warrior's Way 2010,Rela.,5700000.0,5400000,2010,The Warrior's Way 2010,100
I Am Love 2010,Magn.,5000000.0,5900000,2010,I Am Slave 2010,90
Jonah Hex 2010,WB,10500000.0,356000,2010,Jonah Hex 2010,100
Harry Brown 2010,Gold.,1800000.0,8500000,2010,Larry Crowne 2011,79
Cyrus 2010,FoxS,7500000.0,2500000,2010,Cyrus 2010,100
Conviction 2010,FoxS,6800000.0,2900000,2010,Conviction 2010,100
Get Low 2010,SPC,9200000.0,518000,2010,New Low 2010,83
Babies 2010,Focus,7300000.0,2200000,2010,Babies 2010,100
